ticket_id,created_at,category,description,resolution_minutes,escalated,channel,customer_tier
TKT-02711,2025-01-01T02:30:00Z,billing question,Customer requests an explanation of a service charge for HP-80513.,83,True,web portal,standard
TKT-02451,2025-01-01T03:14:00Z,appointment scheduling,Administrative scheduling request for reference HP-64490.,15,False,phone,standard
TKT-00726,2025-01-01T03:56:00Z,billing question,Payment posting question references HP-80493.,33,False,web portal,medicare support
TKT-00706,2025-01-01T04:35:00Z,appointment scheduling,Caller requests an appointment-time change under HP-44454.,75,True,chat,standard
TKT-01159,2025-01-01T08:22:00Z,appointment scheduling,Caller requests an appointment-time change under HP-68040.,26,False,email,medicare support
TKT-02077,2025-01-01T13:47:00Z,prescription refill request,Refill request status inquiry references HP-58714; no clinical details included.,92,False,phone,employer plan
TKT-00411,2025-01-01T16:06:00Z,billing question,Payment posting question references HP-22185.,36,False,web portal,employer plan
TKT-00173,2025-01-01T21:30:00Z,portal access,Customer reports a locked portal account under HP-70603.,34,True,web portal,employer plan
TKT-00598,2025-01-01T21:49:00Z,medical records request,Customer asks which authorization form applies to HP-83887.,114,False,email,employer plan
TKT-02757,2025-01-01T21:54:00Z,appointment scheduling,Caller requests an appointment-time change under HP-46219.,22,False,phone,employer plan
TKT-01827,2025-01-02T00:43:00Z,referral status,Customer requests administrative referral status for HP-42419.,36,False,web portal,standard
TKT-01776,2025-01-02T00:45:00Z,portal access,Customer cannot access the service portal under HP-49454.,12,False,email,employer plan
TKT-02426,2025-01-02T01:38:00Z,appointment scheduling,Customer asks about available scheduling options for HP-22273.,54,True,email,medicare support
TKT-00267,2025-01-02T04:33:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-74429.,35,False,phone,employer plan
TKT-01989,2025-01-02T04:41:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-25623.,66,False,chat,employer plan
TKT-02628,2025-01-02T08:35:00Z,portal access,Portal password reset requested for HP-97361.,13,False,web portal,standard
TKT-02872,2025-01-02T10:15:00Z,referral status,Customer asks whether referral paperwork was received for HP-87611.,47,False,web portal,medicare support
TKT-02146,2025-01-02T11:51:00Z,portal access,Customer reports a locked portal account under HP-96889.,27,True,web portal,medicare support
TKT-01531,2025-01-02T13:58:00Z,billing question,Payment posting question references HP-36992.,59,False,phone,medicare support
TKT-02596,2025-01-02T14:04:00Z,appointment scheduling,Caller requests an appointment-time change under HP-43159.,9,False,phone,standard
TKT-02398,2025-01-02T16:38:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-35356.,92,True,phone,standard
TKT-01006,2025-01-02T16:54:00Z,prescription refill request,Customer asks for refill-request routing under HP-79761.,136,True,phone,medicare support
TKT-01689,2025-01-02T17:26:00Z,billing question,Customer requests an explanation of a service charge for HP-59900.,61,False,phone,medicare support
TKT-00952,2025-01-02T18:14:00Z,general inquiry,Multi-topic non-clinical inquiry recorded as HP-86890.,99,True,chat,standard
TKT-02659,2025-01-02T19:09:00Z,medical records request,Records request status inquiry references HP-85947.,110,False,email,standard
TKT-01514,2025-01-03T04:29:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-50133.,46,False,phone,medicare support
TKT-02268,2025-01-03T04:50:00Z,referral status,Referral routing update requested under HP-58813.,21,False,phone,standard
TKT-02964,2025-01-03T07:45:00Z,appointment scheduling,Customer asks about available scheduling options for HP-98406.,19,False,phone,medicare support
TKT-01457,2025-01-03T10:08:00Z,general inquiry,Customer request requires manual routing under HP-33682.,59,True,email,premium care
TKT-02070,2025-01-03T11:18:00Z,prescription refill request,Customer asks for refill-request routing under HP-34745.,59,False,email,employer plan
TKT-01218,2025-01-03T13:21:00Z,appointment scheduling,Administrative scheduling request for reference HP-78948.,20,False,phone,standard
TKT-01469,2025-01-03T14:52:00Z,medical records request,Customer requests records-release instructions under HP-11176.,98,False,phone,premium care
TKT-00742,2025-01-03T15:38:00Z,appointment scheduling,Administrative scheduling request for reference HP-86729.,13,False,phone,medicare support
TKT-00350,2025-01-03T19:22:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-57183.,49,False,email,medicare support
TKT-00782,2025-01-03T21:58:00Z,billing question,Customer requests an explanation of a service charge for HP-96301.,33,False,email,standard
TKT-02516,2025-01-03T23:27:00Z,portal access,Customer cannot access the service portal under HP-49607.,12,False,phone,standard
TKT-01025,2025-01-04T01:57:00Z,appointment scheduling,Administrative scheduling request for reference HP-21542.,8,False,email,employer plan
TKT-02947,2025-01-04T02:27:00Z,portal access,Customer reports a locked portal account under HP-16482.,7,False,phone,employer plan
TKT-01694,2025-01-04T03:55:00Z,medical records request,Records request status inquiry references HP-34882.,110,False,email,employer plan
TKT-02447,2025-01-04T07:10:00Z,general inquiry,Customer request requires manual routing under HP-72646.,81,False,web portal,medicare support
TKT-01669,2025-01-04T08:38:00Z,portal access,Portal password reset requested for HP-48038.,15,False,email,premium care
TKT-01735,2025-01-04T10:04:00Z,portal access,Customer reports a locked portal account under HP-12473.,9,False,web portal,premium care
TKT-02843,2025-01-04T10:27:00Z,medical records request,Records request status inquiry references HP-52097.,104,True,email,employer plan
TKT-02226,2025-01-04T11:14:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-41656.,33,False,chat,standard
TKT-00682,2025-01-04T15:26:00Z,appointment scheduling,Caller requests an appointment-time change under HP-14856.,26,False,phone,premium care
TKT-01923,2025-01-04T16:29:00Z,billing question,Customer asks about an administrative statement under HP-34128.,45,False,phone,employer plan
TKT-00874,2025-01-04T17:21:00Z,medical records request,Customer requests records-release instructions under HP-17254.,49,False,email,medicare support
TKT-02784,2025-01-04T17:56:00Z,referral status,Customer asks whether referral paperwork was received for HP-22610.,34,False,phone,employer plan
TKT-00676,2025-01-04T18:31:00Z,referral status,Customer requests administrative referral status for HP-95814.,29,False,phone,employer plan
TKT-00470,2025-01-04T18:57:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-98618.,119,True,web portal,standard
TKT-00930,2025-01-04T19:13:00Z,appointment scheduling,Administrative scheduling request for reference HP-39221.,19,False,phone,employer plan
TKT-00150,2025-01-04T23:13:00Z,appointment scheduling,Caller requests an appointment-time change under HP-86493.,18,False,phone,standard
TKT-01417,2025-01-04T23:41:00Z,insurance eligibility,Coverage administration question references HP-99640.,79,False,web portal,standard
TKT-02386,2025-01-05T02:46:00Z,medical records request,Customer asks which authorization form applies to HP-52360.,102,False,web portal,employer plan
TKT-02700,2025-01-05T03:03:00Z,prescription refill request,Refill request status inquiry references HP-26225; no clinical details included.,89,False,chat,standard
TKT-01787,2025-01-05T05:01:00Z,insurance eligibility,Coverage administration question references HP-88762.,34,False,email,medicare support
TKT-01939,2025-01-05T05:51:00Z,portal access,Customer reports a locked portal account under HP-47237.,6,False,web portal,standard
TKT-01399,2025-01-05T07:09:00Z,insurance eligibility,Coverage administration question references HP-11935.,124,True,phone,standard
TKT-02880,2025-01-05T08:49:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-53695.,39,False,web portal,medicare support
TKT-00954,2025-01-05T10:44:00Z,appointment scheduling,Customer asks about available scheduling options for HP-62951.,28,False,web portal,medicare support
TKT-00632,2025-01-05T17:12:00Z,appointment scheduling,Caller requests an appointment-time change under HP-51970.,8,False,email,premium care
TKT-02359,2025-01-05T18:50:00Z,appointment scheduling,Customer asks about available scheduling options for HP-91020.,17,False,email,premium care
TKT-00179,2025-01-05T19:28:00Z,appointment scheduling,Administrative scheduling request for reference HP-90745.,28,False,phone,employer plan
TKT-01225,2025-01-05T19:42:00Z,billing question,Payment posting question references HP-94102.,60,False,email,standard
TKT-01823,2025-01-05T20:28:00Z,appointment scheduling,Customer asks about available scheduling options for HP-28338.,18,False,web portal,medicare support
TKT-00966,2025-01-05T21:43:00Z,portal access,Portal password reset requested for HP-40315.,6,False,chat,standard
TKT-01251,2025-01-05T21:46:00Z,referral status,Customer requests administrative referral status for HP-52753.,43,False,chat,employer plan
TKT-01718,2025-01-05T23:50:00Z,prescription refill request,Refill request status inquiry references HP-39502; no clinical details included.,106,True,email,employer plan
TKT-00432,2025-01-05T23:57:00Z,billing question,Customer requests an explanation of a service charge for HP-98271.,67,False,phone,standard
TKT-01917,2025-01-06T00:46:00Z,appointment scheduling,Administrative scheduling request for reference HP-79395.,28,False,phone,medicare support
TKT-01588,2025-01-06T01:42:00Z,billing question,Customer asks about an administrative statement under HP-74295.,48,False,web portal,medicare support
TKT-00779,2025-01-06T03:20:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-26802.,68,False,phone,standard
TKT-01506,2025-01-06T05:15:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-54495.,82,False,web portal,standard
TKT-01876,2025-01-06T05:22:00Z,portal access,Customer cannot access the service portal under HP-42061.,11,False,web portal,medicare support
TKT-00928,2025-01-06T08:38:00Z,appointment scheduling,Administrative scheduling request for reference HP-78706.,11,False,email,employer plan
TKT-00355,2025-01-06T08:53:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-52477.,54,False,chat,premium care
TKT-01014,2025-01-06T14:26:00Z,appointment scheduling,Caller requests an appointment-time change under HP-96850.,17,False,phone,premium care
TKT-01906,2025-01-06T15:46:00Z,portal access,Customer cannot access the service portal under HP-22297.,15,False,web portal,employer plan
TKT-02538,2025-01-06T18:32:00Z,medical records request,Customer requests records-release instructions under HP-53608.,114,False,web portal,employer plan
TKT-01305,2025-01-06T18:39:00Z,medical records request,Records request status inquiry references HP-23075.,158,True,email,medicare support
TKT-00165,2025-01-06T18:54:00Z,appointment scheduling,Administrative scheduling request for reference HP-59165.,12,False,chat,standard
TKT-01028,2025-01-06T19:01:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-23190.,47,False,web portal,medicare support
TKT-00129,2025-01-06T19:19:00Z,appointment scheduling,Administrative scheduling request for reference HP-47921.,9,False,phone,employer plan
TKT-00655,2025-01-06T22:52:00Z,appointment scheduling,Customer asks about available scheduling options for HP-80049.,19,False,web portal,medicare support
TKT-02423,2025-01-06T23:01:00Z,appointment scheduling,Administrative scheduling request for reference HP-41229.,27,False,web portal,medicare support
TKT-02614,2025-01-07T02:07:00Z,appointment scheduling,Administrative scheduling request for reference HP-32964.,17,False,web portal,employer plan
TKT-02211,2025-01-07T03:59:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-12095.,62,False,web portal,standard
TKT-00336,2025-01-07T04:52:00Z,billing question,Payment posting question references HP-59962.,43,False,chat,medicare support
TKT-00424,2025-01-07T05:06:00Z,appointment scheduling,Administrative scheduling request for reference HP-15200.,16,False,web portal,premium care
TKT-01360,2025-01-07T05:22:00Z,appointment scheduling,Caller requests an appointment-time change under HP-46261.,39,True,phone,standard
TKT-02412,2025-01-07T07:38:00Z,appointment scheduling,Customer asks about available scheduling options for HP-38580.,9,False,phone,medicare support
TKT-00345,2025-01-07T14:09:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-91893.,134,True,web portal,employer plan
TKT-01877,2025-01-07T14:15:00Z,appointment scheduling,Caller requests an appointment-time change under HP-79401.,13,False,web portal,employer plan
TKT-02261,2025-01-07T16:53:00Z,appointment scheduling,Administrative scheduling request for reference HP-83829.,26,False,phone,employer plan
TKT-02395,2025-01-07T19:02:00Z,appointment scheduling,Administrative scheduling request for reference HP-24464.,8,False,phone,medicare support
TKT-02095,2025-01-07T19:47:00Z,insurance eligibility,Coverage administration question references HP-56444.,67,False,phone,employer plan
TKT-01740,2025-01-07T20:51:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-77452.,76,False,web portal,employer plan
TKT-00333,2025-01-07T21:06:00Z,appointment scheduling,Customer asks about available scheduling options for HP-28549.,28,False,phone,standard
